B3GNT1	B3GNT1
HABP4	HABP4
MAFF	MAFF
NSG1	NSG1
CACNA1D	CACNA1D
SLC25A28	SLC25A28
OSR1	OSR1
SNX16	SNX16
RIT1	RIT1
RAB3A	RAB3A
SLC22A16	SLC22A16
FIBCD1	FIBCD1
PTPRK	PTPRK
FGR	FGR
ANO3	ANO3
ALDH8A1	ALDH8A1
STAMBPL1	STAMBPL1
TRIM55	TRIM55
SCN4B	SCN4B
CSK	CSK
ZNF410	ZNF410
RAB33B	RAB33B
LOC286437	LOC286437
DEFB132	DEFB132
POLG	POLG
TFR2	TFR2
TTI1	TTI1
KLF2	KLF2
TMEM45A	TMEM45A
SYT4	SYT4
FAM195B	FAM195B
CPLX2	CPLX2
TRIM41	TRIM41
NHLRC3	NHLRC3
CATSPERG	CATSPERG
TPBGL	TPBGL
MAP1A	MAP1A
MXRA5	MXRA5
RBM26	RBM26
YTHDF3	YTHDF3
FOXN3	FOXN3
SMAD1	SMAD1
RPL37A	RPL37A
PIGR	PIGR
CARS	CARS
NR3C1	NR3C1
SPEN	SPEN
STK39	STK39
CAV3	CAV3
CDKN1C	CDKN1C
ZNF25	ZNF25
ATP1B4	ATP1B4
C11orf67	AAMDC
FAM133A	FAM133A
CDH26	CDH26
LBP	LBP
TIGD4	TIGD4
RANBP9	RANBP9
ARHGAP44	ARHGAP44
IL13RA2	IL13RA2
LOC730101	LOC730101
CD3D	CD3D
PEX26	PEX26
KLHDC8A	KLHDC8A
ZNF280B	ZNF280B
MUCL1	MUCL1
COPS6	COPS6
ZCCHC6	ZCCHC6
MMRN2	MMRN2
TNS1	TNS1
LOC100507468	LOC100507468
HSPA1A	HSPA1A
ARHGEF6	ARHGEF6
RNASET2	RNASET2
PAK1	PAK1
BOLA3	BOLA3
USP51	USP51
RNF133	RNF133
TMC4	TMC4
NLRC5	NLRC5
KRT77	KRT77
ST8SIA2	ST8SIA2
SOX15	SOX15
FDXR	FDXR
CST13P	CST13P
MPP3	MPP3
EXOC7	EXOC7
SLAMF7	SLAMF7
SUGT1	SUGT1
GLIS2	GLIS2
C14orf126	DTD2
ATCAY	ATCAY
KCNA1	KCNA1
CYB5B	CYB5B
IRAK1	IRAK1
POU2AF1	POU2AF1
MXD4	MXD4
ZSWIM7	ZSWIM7
LOC100506388	LOC100506388
ZNF573	ZNF573
RBM15	RBM15
UROD	UROD
RALA	RALA
C3orf70	C3orf70
RBM26-AS1	RBM26-AS1
HMGN4	HMGN4
ZYG11B	ZYG11B
LOC388796	LOC388796
CXorf38	CXorf38
